E,alpha,beta,gamma,delta,epsilon,natorcong
50.71483029,22.46666667,36.66666667,36.66666667,62.75964392,1,0
50.65842826,22.63333333,30,30,69.95581738,1,0
50.59651806,22.83333333,33.33333333,33.33333333,67.59124088,1,0
50.49759009,23.2,36.66666667,36.66666667,66.52298851,1,0
50.42887427,23.5,43.33333333,43.33333333,65.67375887,1,0
50.42184541,23.53333333,46.66666667,46.66666667,63.17280453,1,0
50.39485418,23.66666667,46.66666667,45.11111111,64.92957746,1,0
50.22481366,24.8,50,50,67.47311828,1,0
50.12570372,25.96666667,43.33333333,43.33333333,64.8267009,1,0
50.09164695,26.6,16.66666667,16.66666667,57.89473684,1,0
50.08433162,26.76666667,60,60,65.87795766,1,0
50.05751011,27.53333333,43.33333333,43.33333333,65.25423729,1,0
50.05291672,27.7,46.66666667,46.66666667,68.23104693,1,0
50.04950734,27.83333333,53.33333333,53.33333333,66.46706587,1,0
50.04054046,28.23333333,56.66666667,56.66666667,67.8866588,1,0
50.03921243,28.3,43.33333333,43.33333333,63.01531213,1,0
50.03607944,28.46666667,33.33333333,33.33333333,67.09601874,1,0
50.03054397,28.8,73.33333333,73.33333333,67.59259259,1,0
50.02718235,29.03333333,46.66666667,46.66666667,68.88633754,1,0
50.01542726,30.16666667,70,70,69.28176796,1,0
50.0077909,31.53333333,46.66666667,46.66666667,67.44186047,1,0
50.00505146,32.4,60,60,67.48971193,1,0
50.00003519,42.33333333,43.33333333,43.33333333,65.98425197,1,0
36.12002142,4.875,41.07142857,15.61393152,67.3992674,1,1
33.09448349,4.015037594,3.007518797,0.9693655627,56.3670412,1,1
25.961421,3,23.33333333,19.44444444,54.44444444,1,0
15.81771342,3.483333333,23.33333333,3.393939394,59.33014354,1,1
9.182809356,2.729927007,18.24817518,4.033807146,55.61497326,1,1
4.34000786,3.864864865,22.97297297,7.384169884,65.03496503,1,1
-72.19533359,16,70,70,66.45833333,2,0
-236.0506454,7.866666667,53.33333333,53.33333333,73.72881356,2,0
-246.6263683,6.866666667,66.66666667,62.22222222,67.96116505,2,0
